Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kosovo,NULL,NULL,NULL,NULL,2,15,NULL,NULL,NULL,34
Vanuatu,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
Montserrat,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Nomadic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
Cape Verde,NULL,NULL,NULL,NULL,NULL,NULL,1,3,3,2
Singapore,NULL,NULL,NULL,38,70,185,177,376,303,228
Japan,NULL,NULL,NULL,20,63,167,248,361,391,297
Other Europe,451,1168,1626,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vietnam,NULL,NULL,NULL,16,84,136,121,NULL,NULL,NULL
Saint Vincent & Grenadines,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Egypt,NULL,NULL,NULL,25,71,123,134,419,323,281
India,95,537,737,881,2461,4193,5197,13721,9061,8403
Portugal,NULL,NULL,NULL,27,224,496,271,528,525,388
Australasia,29,105,118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belgium,NULL,NULL,NULL,62,263,543,404,743,727,459
Netherlands Antilles,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Laos,NULL,NULL,NULL,NULL,3,3,2,NULL,NULL,NULL
Taiwan,NULL,NULL,NULL,19,55,76,91,207,187,158
Dominica,NULL,NULL,NULL,NULL,NULL,1,NULL,2,1,NULL
Mauritius,NULL,NULL,NULL,NULL,5,8,17,35,26,18
Bolivia,NULL,NULL,NULL,5,7,15,23,44,36,40
Ecuador,NULL,NULL,NULL,4,7,27,36,65,82,49
Ukraine,NULL,NULL,NULL,69,222,802,356,1279,868,539
Antigua & Deps,NULL,NULL,NULL,NULL,9,2,NULL,NULL,NULL,NULL
Heard and McDonald Islands,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Burkina Faso,NULL,NULL,NULL,NULL,NULL,NULL,1,5,4,6
Croatia,NULL,NULL,NULL,20,68,148,172,241,260,185
El Salvador,NULL,NULL,NULL,2,5,11,21,46,67,26
Chad,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,1
Sweden,NULL,NULL,NULL,99,540,1328,611,1164,1274,886
Puerto Rico,NULL,NULL,NULL,3,NULL,3,20,NULL,NULL,NULL
Latvia,NULL,NULL,NULL,9,63,71,98,145,136,111
French Guyana,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Aruba,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Madagascar,NULL,NULL,NULL,NULL,4,6,8,19,15,21
Guyana,NULL,NULL,NULL,NULL,NULL,4,4,2,3,5
Korea South,NULL,NULL,NULL,NULL,97,233,NULL,NULL,NULL,NULL
China,NULL,NULL,NULL,54,252,321,239,1037,664,371
Finland,NULL,NULL,NULL,47,242,440,287,521,546,349
Russian Federation,NULL,NULL,NULL,NULL,650,1419,873,2869,1694,1092
Australia,112,185,246,182,618,1117,913,2018,1903,1208
"Venezuela, Bolivarian Republic of...",NULL,NULL,NULL,NULL,NULL,NULL,NULL,123,88,70
Middle East,73,124,198,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malawi,NULL,NULL,NULL,NULL,NULL,2,2,9,2,8
British Indian Ocean Territory,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Tonga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Cyprus,NULL,NULL,NULL,3,16,30,28,49,64,50
Lebanon,NULL,NULL,NULL,9,21,38,56,107,120,71
Djibouti,NULL,NULL,NULL,NULL,1,3,1,1,2,2
Viet Nam,NULL,NULL,NULL,NULL,NULL,NULL,NULL,331,231,364
Gabon,NULL,NULL,NULL,NULL,3,1,1,5,2,1
Andorra,NULL,NULL,NULL,NULL,4,12,6,15,7,13
Belarus,NULL,NULL,NULL,20,70,164,91,339,202,129
Other Asia,81,221,367,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Liechtenstein,NULL,NULL,NULL,NULL,1,3,6,5,3,1
Virgin Islands (British),NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Zimbabwe,NULL,NULL,NULL,NULL,5,9,20,39,39,31
Africa,43,92,115,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mexico,20,32,29,34,179,444,351,736,642,540
Vatican City State,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Haiti,NULL,NULL,NULL,NULL,2,5,4,8,5,5
Isle of Man,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
Other Country (Not Listed Above),NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,136,NULL
Gambia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,4
Botswana,NULL,NULL,NULL,NULL,1,4,7,4,5,8
Turkmenistan,NULL,NULL,NULL,NULL,2,NULL,1,6,7,4
Iraq,NULL,NULL,NULL,NULL,3,7,11,42,39,44
Canada,156,348,490,306,828,2024,2233,3393,3395,2191
Azerbaijan,NULL,NULL,NULL,NULL,7,29,NULL,78,49,50
